"","year","survey","species","scientific_name","depth","cpue_kg_km2","fishing_event_id","o2","enviro","longitude","latitude","suvey","est_non_rf","quadratic","model"
"147",2013,"SYN HS","walleye pollock","raja rhina",0,48.595201968,886341,NA,-0.6,449.227243079527,5763.41765853317,"SYN HS",-28.9660364625644,TRUE,4
"148",2013,"SYN HS","walleye pollock","raja rhina",0,0,886473,NA,-0.5,449.227243079527,5763.41765853317,"SYN HS",-28.7060966577839,TRUE,4
"149",2013,"SYN HS","walleye pollock","raja rhina",0,0,886474,NA,-0.4,449.227243079527,5763.41765853317,"SYN HS",-28.4497169935058,TRUE,4
"150",2013,"SYN HS","walleye pollock","raja rhina",0,0,886475,NA,-0.3,449.227243079527,5763.41765853317,"SYN HS",-28.1968974697298,TRUE,4
"151",2013,"SYN HS","walleye pollock","raja rhina",0,0,886476,NA,-0.2,449.227243079527,5763.41765853317,"SYN HS",-27.9476380864562,TRUE,4
"152",2013,"SYN HS","walleye pollock","raja rhina",0,0,886478,NA,-0.0999999999999996,449.227243079527,5763.41765853317,"SYN HS",-27.7019388436847,TRUE,4
"153",2013,"SYN HS","walleye pollock","raja rhina",0,0,886479,NA,0,449.227243079527,5763.41765853317,"SYN HS",-27.4597997414156,TRUE,4
"154",2013,"SYN HS","walleye pollock","raja rhina",0,0,886480,NA,0.1,449.227243079527,5763.41765853317,"SYN HS",-27.2212207796487,TRUE,4
"155",2013,"SYN HS","walleye pollock","raja rhina",0,0,886481,NA,0.2,449.227243079527,5763.41765853317,"SYN HS",-26.986201958384,TRUE,4
"156",2013,"SYN HS","walleye pollock","raja rhina",0,0,886482,NA,0.3,449.227243079527,5763.41765853317,"SYN HS",-26.7547432776216,TRUE,4
"157",2013,"SYN HS","walleye pollock","raja rhina",0,0,886483,NA,0.4,449.227243079527,5763.41765853317,"SYN HS",-26.5268447373615,TRUE,4
"158",2013,"SYN HS","walleye pollock","raja rhina",0,0,886484,NA,0.5,449.227243079527,5763.41765853317,"SYN HS",-26.3025063376036,TRUE,4
"159",2013,"SYN HS","walleye pollock","raja rhina",0,0,886485,NA,0.6,449.227243079527,5763.41765853317,"SYN HS",-26.0817280783479,TRUE,4
"160",2013,"SYN HS","walleye pollock","raja rhina",0,0,886486,NA,0.7,449.227243079527,5763.41765853317,"SYN HS",-25.8645099595945,TRUE,4
"161",2013,"SYN HS","walleye pollock","raja rhina",0,0,886487,NA,0.8,449.227243079527,5763.41765853317,"SYN HS",-25.6508519813434,TRUE,4
"162",2013,"SYN HS","walleye pollock","raja rhina",0,0,886488,NA,0.9,449.227243079527,5763.41765853317,"SYN HS",-25.4407541435945,TRUE,4
"163",2013,"SYN HS","walleye pollock","raja rhina",0,0,886489,NA,1,449.227243079527,5763.41765853317,"SYN HS",-25.2342164463479,TRUE,4
"164",2013,"SYN HS","walleye pollock","raja rhina",0,0,886490,NA,1.1,449.227243079527,5763.41765853317,"SYN HS",-25.0312388896036,TRUE,4
"165",2013,"SYN HS","walleye pollock","raja rhina",0,0,886491,NA,1.2,449.227243079527,5763.41765853317,"SYN HS",-24.8318214733614,TRUE,4
"166",2013,"SYN HS","walleye pollock","raja rhina",0,0,886492,NA,1.3,449.227243079527,5763.41765853317,"SYN HS",-24.6359641976216,TRUE,4
"167",2013,"SYN HS","walleye pollock","raja rhina",0,0,886495,NA,1.4,449.227243079527,5763.41765853317,"SYN HS",-24.443667062384,TRUE,4
"168",2013,"SYN HS","walleye pollock","raja rhina",0,0,886496,NA,1.5,449.227243079527,5763.41765853317,"SYN HS",-24.2549300676486,TRUE,4
"169",2013,"SYN HS","walleye pollock","raja rhina",0,0,886498,NA,1.6,449.227243079527,5763.41765853317,"SYN HS",-24.0697532134155,TRUE,4
"170",2013,"SYN HS","walleye pollock","raja rhina",0,0,886499,NA,1.7,449.227243079527,5763.41765853317,"SYN HS",-23.8881364996847,TRUE,4
"171",2013,"SYN HS","walleye pollock","raja rhina",0,0,886500,NA,1.8,449.227243079527,5763.41765853317,"SYN HS",-23.7100799264561,TRUE,4
"172",2013,"SYN HS","walleye pollock","raja rhina",0,31.680281731,886501,NA,1.9,449.227243079527,5763.41765853317,"SYN HS",-23.5355834937298,TRUE,4
"173",2013,"SYN HS","walleye pollock","raja rhina",0,0,886502,NA,2,449.227243079527,5763.41765853317,"SYN HS",-23.3646472015057,TRUE,4
